Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Concept: Platform,Concept: Service,Concept: Technology,Concept: Company,Concept: Personal Information,Concept: Other Brands,Concept: Non-Brands,Concept: Hosting Provider,Concept: Others,Concept: Control Panel
dns lookup online,INR,500,0%,0%,Low,3,1.2,75.6,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
wix hosting,INR,500,0%,0%,Low,30,34.22,213.28,,,,,,,,,,,,,,,,,,wix,website hosting,,,website,,,,,
website names,INR,5000,0%,0%,Low,27,7.19,43.77,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
domain parking,INR,500,0%,0%,Low,5,16.69,222.08,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
digitalocean vps,INR,500,0%,0%,Medium,55,144.05,509.34,,,,,,,,,,,,,,,,,,,vps,,digitalocean,,,,,,
custom domain,INR,500,0%,0%,Low,29,18.29,117.78,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
buy domain online,INR,5000,0%,0%,Medium,65,29.74,233.28,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
blue hosting,INR,50000,0%,0%,Low,33,9.99,69.94,,,,,,,,,,,,,,,,,,,,,bluehost,,,,,,
google domain name,INR,500,0%,0%,Medium,36,27.85,1389.53,,,,,,,,,,,,,,,,,,,,google,google domains,name,,,,,
godaddy wordpress,INR,500,0%,0%,Low,12,29.97,307.99,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,godaddy,,,,,,
cheap domain registration,INR,500,0%,0%,High,77,39.79,197.37,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
webhost00,INR,50,0%,0%,Low,3,16.71,68.44,,,,,,,,,,,,,,,,,,,web hosting,,,,,Non-Brands,,,
bluehost reviews,INR,500,0%,-90%,Low,12,81.07,429.75,,,,,,,,,,,,,,,,,,,web hosting,,bluehost,,,,,,
buy url,INR,500,0%,0%,Medium,38,19.1,87.54,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
free domain registration,INR,5000,0%,0%,High,68,24.04,120.97,,,,,,,,,,,,,,,,,,,domain registration,,,name,free,,,,
gmail domain,INR,500,0%,0%,Medium,42,29.02,19676.29,,,,,,,,,,,,,,,,,,,"business hosting, email hosting",google,google domains,"email, address",,,,,
cheap wordpress hosting,INR,500,0%,-90%,High,73,98.68,478.3,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
godaddy domain name search,INR,500,0%,-90%,Medium,39,7.73,199.21,,,,,,,,,,,,,,,,,,,,,godaddy,"website, name",,,,,
get free domain,INR,5000,0%,0%,Medium,62,23.88,128.93,,,,,,,,,,,,,,,,,,,,,,,free,,,,
free hosting with cpanel,INR,5000,0%,0%,Medium,52,31.04,279.34,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,,website,free,,freehosting,,cpanel
leafdns,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,leafdns,,,,
dedicated hosting,INR,500,0%,0%,Medium,40,116.58,272.97,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
vultr vps,INR,500,0%,0%,Medium,58,139.27,739.33,,,,,,,,,,,,,,,,,,,vps,,,,vultr,,,,
0000webhost,INR,500,900%,0%,Low,5,30.24,100.71,,,,,,,,,,,,,,,,,,,,,,,,,000webhost,,
domain names list,INR,5000,0%,0%,Low,20,7.16,43.77,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
mail hosting,INR,500,0%,0%,Medium,39,40.59,298.91,,,,,,,,,,,,,,,,,,,"business hosting, email hosting",,,email,,Non-Brands,,,
domain and hosting,INR,5000,0%,0%,Medium,60,27.06,233.98,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting",,,,,Non-Brands,,,
ionos hosting,INR,500,0%,0%,Medium,39,5.57,126.54,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,1&1,,,,,,
heliohost,INR,500,0%,0%,Low,4,20.24,115.4,,,,,,,,,,,,,,,,,,,,,,,heliohost,,,,
cheap dedicated server,INR,500,0%,0%,High,69,159.17,426.01,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
flywheel hosting,INR,500,0%,0%,Low,13,68.23,336.64,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
domain details,INR,5000,0%,0%,Low,24,7.96,122.16,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain io,INR,5000,0%,0%,Low,25,15.92,66.85,,,,,,,,,,,,,,,,,,,,,,,io domain,,,,
free mysql hosting,INR,500,0%,0%,Low,18,29.45,183.04,,,,,,,,,,,,,,,,,,,free hosting,,,,"free, mysql",,,,
free email domain,INR,500,0%,0%,Medium,52,15.12,86.59,,,,,,,,,,,,,,,,,,,"free hosting, email hosting",,,"email, address",free,,,,
vultr pricing,INR,500,0%,0%,Medium,44,54.91,461.59,,,,,,,,,,,,,,,,,,,vps,,,,vultr,,,,
google domain registration,INR,500,0%,0%,Medium,42,105.05,4481.36,,,,,,,,,,,,,,,,,,,domain registration,google,google domains,name,,,,,
namecheap email,INR,500,0%,0%,Low,14,17.51,200.55,,,,,,,,,,,,,,,,,,,,,namecheap,email,,,,,
github pages custom domain,INR,500,0%,0%,Low,1,15.92,159.96,,,,,,,,,,,,,,,,,,,,google,google domains,,github,,,,
seedhost,INR,50,0%,0%,Low,7,79.84,81.74,,,,,,,,,,,,,,,,,,,,,,,seedhost,,,,
virtual server hosting,INR,500,-90%,-90%,Medium,40,128.13,360.16,,,,,,,,,,,,,,,,,,,"vps, virtual server",,,,,Non-Brands,,,
siteground pricing,INR,500,0%,-90%,Low,20,67.65,324.3,,,,,,,,,,,,,,,,,,,,,,,siteground,,,,
bluehost wordpress,INR,500,0%,0%,Medium,36,22.28,183.84,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,bluehost,,,,,,
new domain,INR,500,0%,0%,Medium,50,20.69,139.93,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
internetbs,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,internetbs,,,,
sell domain,INR,500,0%,0%,Medium,44,8.75,318.33,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
siteground hosting plans,INR,500,0%,0%,Medium,34,62.87,351.76,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,siteground,,,,
best domain hosting,INR,50,0%,0%,Medium,60,63.53,471.93,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,website,,Non-Brands,,,
dreamhost email,INR,50,0%,0%,Low,11,8.17,699.2,,,,,,,,,,,,,,,,,,,email hosting,,dreamhost,email,,,,,
whm cpanel,INR,500,0%,0%,Low,12,14.33,95.38,,,,,,,,,,,,,,,,,,,,,,,,,,,"cpanel, whm"
cheap minecraft server hosting,INR,500,0%,0%,Low,22,4.78,28.5,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
domain name finder,INR,5000,900%,0%,Medium,44,19.9,101.07,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
godaddy vps,INR,500,0%,0%,Medium,48,74.6,262.63,,,,,,,,,,,,,,,,,,,vps,,godaddy,,,,,,
internet domain,INR,500,0%,0%,Low,7,17.91,206.92,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
feralhosting,INR,50,0%,-90%,Low,5,18.37,79.58,,,,,,,,,,,,,,,,,,,,,,,feralhosting,,,,
fatcow email,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,email hosting,,fatcow,email,,,,,
dns search,INR,500,0%,0%,Low,9,9.33,64.46,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
dns hosting,INR,500,0%,0%,Low,23,25.47,212.71,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hover domain,INR,500,-90%,-90%,Low,18,19.1,160.76,,,,,,,,,,,,,,,,,,,,,hover,,,,,,
affordable basic hosting,INR,50,0%,?,High,71,,,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,2021,
cloudflare domain,INR,500,0%,0%,Low,9,24.37,113.01,,,,,,,,,,,,,,,,,,,,,cloudflare,,,,,,
best hosting provider,INR,500,-90%,-90%,High,70,82.54,437.27,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
business domain,INR,500,0%,0%,Low,25,19.95,313.56,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
website domain search,INR,500,0%,0%,Medium,40,19.9,148.82,,,,,,,,,,,,,,,,,,,,,,"website, name, address",,Non-Brands,,,
free php hosting,INR,500,0%,0%,Low,31,10.35,68.44,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,,,
free subdomain,INR,500,0%,0%,Low,26,7.16,46.03,,,,,,,,,,,,,,,,,,,,,,,free,,,,
whois hosting,INR,5000,0%,0%,Low,3,18.61,119.89,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
virtualhost,INR,500,0%,0%,Low,7,73.81,139.27,,,,,,,,,,,,,,,,,,,virtual server,,,,apache,,,,
shopify domain search,INR,500,0%,0%,Medium,35,13.84,113.8,,,,,,,,,,,,,,,,,,shopify,,,,,,,,,
godaddy url,INR,500,0%,-99%,Medium,33,23.88,241.93,,,,,,,,,,,,,,,,,,,,,godaddy,website,,,,,
offshore hosting,INR,500,0%,0%,Medium,66,27.48,110.62,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hostadvice,INR,500,0%,0%,Low,7,26.03,162.33,,,,,,,,,,,,,,,,,,,,,,,hostadvice,,,,
godaddy reviews,INR,500,0%,0%,Low,14,31.04,133.7,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
hostgator hosting plans,INR,500,0%,0%,Medium,45,28.65,132.32,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,hostgator,,,,,,
free domain name registration,INR,500,900%,0%,High,72,27.06,179.86,,,,,,,,,,,,,,,,,,,domain registration,,,name,free,,,,
namecheap ssl,INR,500,0%,0%,Medium,35,55.71,391.55,,,,,,,,,,,,,,,,,,,,,namecheap,,,,,,
cpanel free,INR,500,0%,0%,Low,25,3.53,54.91,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,cpanel
second level domain,INR,500,0%,0%,Low,1,6.37,18.3,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dns domain,INR,500,0%,0%,Low,13,19.9,178.27,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
godaddy coupons,INR,5000,0%,0%,Low,13,40.59,192.19,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
cheap vps hosting,INR,500,0%,0%,High,73,102.66,266.61,,,,,,,,,,,,,,,,,,,vps,,,,,Non-Brands,,,
godaddy domain price,INR,500,0%,-90%,Medium,42,6.63,167.13,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
google domain email,INR,500,0%,0%,Medium,44,218.86,21301.39,,,,,,,,,,,,,,,,,,,email hosting,google,google domains,"email, address",,,,,
domain name service,INR,500,-90%,0%,Low,17,18.3,159.17,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
cloudflare registrar,INR,50,0%,-90%,Low,8,157.58,3788.98,,,,,,,,,,,,,,,,,,,,,cloudflare,,,,,,
godaddy go,INR,50,0%,-90%,Medium,34,7.96,88.34,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
godaddy free domain,INR,500,0%,-90%,Medium,44,9.55,168.72,,,,,,,,,,,,,,,,,,,free hosting,,godaddy,name,free,,,,
cheap website hosting,INR,500,0%,0%,High,76,65.6,404.29,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
domain id,INR,500,0%,0%,Low,26,14.64,117.78,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
best web hosting for small business,INR,500,0%,0%,Medium,41,85.15,541.97,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
domainking,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,,name,domainking,,,,
get domain,INR,500,0%,0%,Medium,55,24.49,158.57,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
cheap windows vps,INR,500,0%,0%,High,74,99.65,382.8,,,,,,,,,,,,,,,,,,,"vps, windows hosting",,,,cheap windows vps,,,,
url lookup,INR,500,0%,0%,Low,8,6.61,108.23,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
wix domain cost,INR,500,0%,0%,Low,26,12.73,446.46,,,,,,,,,,,,,,,,,,wix,website hosting,,,"website, name",,,,,
domains by proxy,INR,500,0%,0%,Low,8,8.88,78.79,,,,,,,,,,,,,,,,,,,,,,,domains by proxy,,,,
plesk panel,INR,500,0%,0%,Low,15,74.98,445.71,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,plesk
bluehost hosting plans,INR,500,0%,0%,Medium,47,23.08,1368.04,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,bluehost,,,,,,
buy hosting,INR,5000,0%,0%,High,76,67.65,427.19,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
hostgator billing,INR,50,0%,0%,Low,9,74.73,82.61,,,,,,,,,,,,,,,,,,,,,hostgator,,,,,,
domain big data,INR,5000,0%,-90%,Low,5,23.96,104.25,,,,,,,,,,,,,,,,,,,,,,,domain data,,,,
free business email without domain,INR,500,0%,0%,Medium,61,21.36,160.65,,,,,,,,,,,,,,,,,,,"business hosting, free hosting, email hosting",,,"email, address",free,,,,
google website hosting,INR,500,0%,0%,Medium,40,31.83,6443.1,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",google,,website,,,,,
best hosting services,INR,500,0%,0%,High,74,82.48,519.68,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
mysql host,INR,500,0%,0%,Medium,35,32.63,185.43,,,,,,,,,,,,,,,,,,,,,,,mysql,,,,
dns management,INR,500,0%,0%,Low,23,21.63,167.13,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
ping domain,INR,500,0%,0%,Low,2,21.49,155.98,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
linux vps,INR,500,0%,0%,Medium,41,131.31,315.95,,,,,,,,,,,,,,,,,,,"vps, linux hosting",,,,,Non-Brands,,,
email domain name,INR,500,0%,0%,Low,32,50.63,2720.17,,,,,,,,,,,,,,,,,,,,,,"name, email, address",,Non-Brands,,,
hostinger minecraft server,INR,500,0%,0%,Low,26,3.98,17.46,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,hostinger,,
flaunt7,INR,500,0%,0%,Low,4,26.58,102.66,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
buy vps,INR,500,0%,0%,Medium,65,139.27,418.03,,,,,,,,,,,,,,,,,,,"vps, virtual server",,,,,Non-Brands,,,
hostbill,INR,500,0%,0%,Low,8,12.9,99.59,,,,,,,,,,,,,,,,,,,,,,,hostbill,,,,
magento hosting,INR,500,0%,0%,Medium,48,74.81,731.37,,,,,,,,,,,,,,,,,,magento,ecommerce hosting,,,,,,,,
1&1 domain,INR,50,0%,0%,Medium,38,35.8,313.56,,,,,,,,,,,,,,,,,,,,,1&1,,,,,,
wix domain search,INR,500,0%,0%,Low,24,12.73,76.4,,,,,,,,,,,,,,,,,,wix,website hosting,,,"website, name",,,,,
cloudways pricing,INR,500,0%,0%,Low,32,49.34,155.98,,,,,,,,,,,,,,,,,,,cloud hosting,,cloudways,,,,,,
domain provider,INR,500,0%,0%,Medium,62,29.45,179.06,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
best minecraft hosting,INR,50,0%,0%,Medium,36,9.55,68.51,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
mail domain,INR,500,0%,0%,Medium,40,24.56,5367.13,,,,,,,,,,,,,,,,,,,,,,email,,Non-Brands,,,
domain registrar lookup,INR,500,0%,0%,Medium,34,9.49,82.77,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
unlimited web hosting,INR,500,0%,0%,Medium,56,38.04,192.73,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
managed hosting,INR,500,0%,0%,Medium,35,71.63,365.29,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
check website availability,INR,500,0%,0%,Medium,43,14.1,52.05,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
domcop,INR,500,0%,0%,Low,24,14.33,98.48,,,,,,,,,,,,,,,,,,,,,,,expired domains,,,,
game hosting,INR,500,0%,0%,Low,2,11.12,66.05,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
find domain owner,INR,500,0%,0%,Medium,34,3.98,81.97,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
best cloud hosting,INR,500,0%,0%,High,67,75.83,293.66,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",,,,,Non-Brands,,,
bustaname,INR,500,0%,0%,Low,6,14.85,73.22,,,,,,,,,,,,,,,,,,,,,,name,bustaname,,,,
bluehost cpanel,INR,500,0%,0%,Low,21,29.97,198.16,,,,,,,,,,,,,,,,,,,,,bluehost,,,,,,cpanel
freenom register,INR,500,0%,0%,Low,9,11.94,64.71,,,,,,,,,,,,,,,,,,,domain registration,,,,"free, freenom",,,,
hostinger free,INR,500,0%,0%,Low,13,10.35,46.07,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting, free hosting",,,,free,,hostinger,,
google domains pricing,INR,500,0%,-90%,Medium,40,20.3,1331.97,,,,,,,,,,,,,,,,,,,domain registration,google,google domains,,,,,,
domain extensions list,INR,500,0%,0%,Low,26,4.86,132.11,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
get domain name,INR,500,0%,0%,Medium,53,30.24,172.7,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
find subdomains,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
web space,INR,500,0%,0%,Low,16,11.94,139.27,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
dreamhost mail,INR,50,0%,900%,Low,10,26.26,701.76,,,,,,,,,,,,,,,,,,,email hosting,,dreamhost,email,,,,,
free domain email address,INR,500,0%,0%,Medium,59,7.3,45.76,,,,,,,,,,,,,,,,,,,,,,"website, email, address",free,,,,
webhost4life,INR,500,0%,0%,Low,2,36.61,89.28,,,,,,,,,,,,,,,,,,,,,,,webhost4life,,,,
1&1 website,INR,50,0%,0%,Low,21,7.96,49.34,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,1&1,website,,,,,
best free hosting,INR,500,0%,0%,Medium,42,32.63,208.17,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,freehosting,,
free web hosting with cpanel,INR,500,0%,0%,Medium,57,27.06,245.58,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,,website,free,,,,cpanel
godaddy buy domain,INR,500,900%,900%,Medium,42,18.3,522.87,,,,,,,,,,,,,,,,,,,,,godaddy,"website, name",,,,,
cloud server hosting,INR,500,0%,0%,Medium,53,82.21,369.04,,,,,,,,,,,,,,,,,,,cloud hosting,,,,,Non-Brands,,,
cloud hosting providers,INR,500,0%,0%,Medium,55,116.3,432.94,,,,,,,,,,,,,,,,,,,cloud hosting,,,,,Non-Brands,,,
cpanel pricing,INR,500,0%,0%,Low,21,15.8,146.83,,,,,,,,,,,,,,,,,,,,,,,,,,,cpanel
ionos vps,INR,50,0%,0%,Medium,58,66.85,339.03,,,,,,,,,,,,,,,,,,,vps,,1&1,,,,,,
domain reseller,INR,500,0%,0%,Medium,53,13.59,318.33,,,,,,,,,,,,,,,,,,,reseller hosting,,,name,,Non-Brands,,,
hostgator email,INR,50,0%,0%,Low,12,17.51,307.19,,,,,,,,,,,,,,,,,,,email hosting,,hostgator,email,,,,,
buy email domain,INR,500,0%,0%,Medium,61,138.13,3297.95,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
best domain provider,INR,500,0%,0%,Medium,60,31.83,209.31,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain broker,INR,500,0%,900%,Medium,48,21.6,339.03,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
cheap email hosting,INR,500,0%,0%,Medium,62,50.12,214.88,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, email hosting",,,email,,Non-Brands,,,
free domains list,INR,500,0%,0%,Medium,52,12.73,133.08,,,,,,,,,,,,,,,,,,,,,,,free,,,,
website owner lookup,INR,500,0%,0%,Low,31,3.98,60.48,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
custom domain email,INR,500,0%,0%,Medium,45,52.23,15231.53,,,,,,,,,,,,,,,,,,,email hosting,,,"email, address",,Non-Brands,,,
sell domain name,INR,500,0%,0%,Medium,42,10.01,248.3,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
hostinger minecraft,INR,50,0%,0%,Low,26,,,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,hostinger,,
hostings,INR,50000,0%,0%,Low,21,18.76,249.1,,,,,,,,,,,,,,,,,,,web hosting,,,,,,hostinger,,
aws domain,INR,500,0%,0%,Low,21,11.14,7958.37,,,,,,,,,,,,,,,,,,,,aws,,,,,,,
web domain search,INR,50,0%,0%,Medium,39,20.27,93.11,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
domain name registration lookup,INR,50,0%,-90%,Medium,41,17.83,77.2,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
101 domain,INR,500,0%,0%,Low,20,50.4,189.41,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
ionos wordpress,INR,50,0%,0%,Low,31,53.32,258.65,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,1&1,,,,hostinger,,
best free web hosting,INR,500,0%,0%,Medium,44,32.36,171.11,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,,,
siteground reviews,INR,500,900%,0%,Low,8,45.36,316.74,,,,,,,,,,,,,,,,,,,,,,,siteground,,,,
domain suggestion,INR,500,0%,0%,Medium,45,23.83,114.31,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
best email hosting,INR,500,0%,0%,Medium,33,39.79,199.29,,,,,,,,,,,,,,,,,,,email hosting,,,email,,Non-Brands,,,
sectigo dns,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
deleted domains,INR,500,0%,-90%,Low,14,19.1,113.3,,,,,,,,,,,,,,,,,,,,,,,expired domains,,,,
website name checker,INR,500,0%,0%,Low,32,12.73,64.46,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
free vps hosting,INR,500,0%,0%,Medium,52,76.4,752.07,,,,,,,,,,,,,,,,,,,"vps, free hosting",,,,free,,,,
free web hosting and domain,INR,500,0%,0%,High,69,35.81,327.09,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,,website,free,,,,
google dns lookup,INR,500,0%,0%,Low,1,35.02,196.57,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
hostgator vps,INR,500,0%,-90%,Medium,53,87.54,206.92,,,,,,,,,,,,,,,,,,,vps,,hostgator,,,,,,
godaddy dns,INR,500,0%,0%,Low,12,53.32,249.1,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
namecheap cpanel,INR,500,0%,0%,Low,4,15.25,145.88,,,,,,,,,,,,,,,,,,,,,namecheap,,,,,,cpanel
free domain tk,INR,500,0%,0%,Medium,35,7.96,51.01,,,,,,,,,,,,,,,,,,,,,,,free,,,,
bulletproof hosting,INR,500,0%,0%,High,67,17.21,116.19,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hostinger hosting plans,INR,5000,0%,0%,Medium,42,9.96,77.99,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting, free hosting",,,,free,,hostinger,,
domaintyper,INR,500,0%,0%,Low,8,19.83,91.2,,,,,,,,,,,,,,,,,,,,,,,domaintyper,,,,
accuweb hosting,INR,5000,0%,0%,Low,22,41.38,210.1,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,accuwebhosting,,,,
hosting sites,INR,500,0%,0%,High,73,57.41,332.49,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
ovh dedicated server,INR,50,0%,0%,Medium,51,145.17,441.91,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,ovh,,,,,,
namecheap dns,INR,500,0%,0%,Low,8,291.28,929.54,,,,,,,,,,,,,,,,,,,,,namecheap,,,,,,
shopify domain name,INR,50,0%,0%,Low,26,12.73,795.84,,,,,,,,,,,,,,,,,,shopify,,,,name,,,,,
go daddy domain lookup,INR,50,?,0%,Medium,34,24.67,185.03,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
free cloud hosting,INR,500,0%,0%,Medium,65,47.24,264.22,,,,,,,,,,,,,,,,,,,"cloud hosting, free hosting",,,,free,,,,
find domain registration details,INR,500,0%,0%,Medium,35,4.78,50.14,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
buy cheap domain,INR,5000,0%,0%,High,78,45.99,237.96,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
ipages,INR,5000,0%,0%,Low,13,24.16,48.07,,,,,,,,,,,,,,,,,,,,,ipage,,,,,,
godaddy reseller,INR,500,-90%,-90%,Low,18,15.24,342.21,,,,,,,,,,,,,,,,,,,reseller hosting,,godaddy,,,,,,
managed wordpress,INR,500,0%,0%,Low,32,41.64,557.09,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
epik domains,INR,50,0%,0%,Low,14,2.39,59.91,,,,,,,,,,,,,,,,,,,,,,,epik,,,,
free business email accounts,INR,500,0%,0%,Medium,55,42.86,19459.82,,,,,,,,,,,,,,,,,,,,,,"email, address",free,,,,
hosting speed,INR,500,0%,0%,Low,8,37.87,180.66,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,hosting speed,,,,
mail 1and1,INR,500,0%,0%,Low,5,955,955,,,,,,,,,,,,,,,,,,,,,1&1,,,,,,
best domain name,INR,500,0%,0%,Medium,46,12.7,71.63,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
most expensive domain names,INR,500,0%,0%,Low,12,11.14,118.58,,,,,,,,,,,,,,,,,,,,,,name,most expensive domains,,,,
linux web hosting,INR,500,0%,0%,Medium,50,59.23,236.72,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, linux hosting, web hosting",,,website,,Non-Brands,,,
cname checker,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
gandi domain,INR,50,0%,0%,Low,5,19.18,103.08,,,,,,,,,,,,,,,,,,,,,gandi,name,,,,,
